#{"t_start": 1741225022.2830396, "env_id": "None"}
r,l,t
-105.05165,2,9.927598
-103.326256,3,9.927603
-94.10928,18,9.958079
-104.37146,2,9.958104
-109.76532,9,9.98919
-103.96542,4,9.989211
-103.78877,7,10.004564
-103.17237,7,10.022001
-104.11687,5,10.037822
-104.952484,5,10.06861
-98.7828,8,10.084117
-105.95286,3,10.084137
-104.486404,10,10.084145
-101.09666,11,10.08415
-98.64043,21,10.100072
-99.32395,17,10.114356
-106.01593,2,10.114377
-107.6479,3,10.114383
-104.50887,2,10.114387
-108.18741,7,10.133672
-107.2321,9,10.150815
-103.25136,3,10.165925
-106.08059,4,10.165944
-109.663,5,10.16595
-100.050125,12,10.181698
-102.46633,2,10.197273
-101.66548,7,10.197293
-106.37642,5,10.212332
-97.48603,6,10.212352
-102.78407,2,10.21236
-111.52764,8,10.248025
-109.314644,4,10.27953
-103.445885,8,10.279551
-102.94098,4,10.279556
-98.969826,8,10.295205
-104.101715,2,10.31103
-102.72263,2,10.31105
-104.3738,2,10.311055
-109.26534,3,10.341258
